p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
1,week1,KurKure Naughty Tomato,KurKure,Naughty Tomato,Pepsico Inc USA,Veg,Namkeen Snack,4,48,"Rice Meal,Edible Vegetable Oil-Palmolein Oil,Corn Meal,Gram Meal, Tomato Powder,Chilli Powder,Onion Powder,Spices Extract,Black Pepper Powder,Ginger Powder,Cinnamon Powder,Clove Powder,Nutmeg Powder,Beetroot Powder,Sugar,Salt,Citric Acid-330",Not Mentioned,Yes,Pune,Not Mentioned,47g,557 Kcal,,5.3g,56.2g,3.8g,,34.6g,16.1g,0.1g,,,,920mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,week1,KurKure Chilli Chatka,KurKure,Chilli Chatka,Pepsico Inc USA,Veg,Namkeen Snack,4,48,"Rice Meal,Edible Vegetable Oil-Palmolein Oil,Corn Meal,Gram Meal, Chilli Powder,Onion Powder,Fennel powder,Ajwain powder,Cumin Powder,Garlic Powder,Coriander Powder,Black Pepper Powder,Spice extract,Fengreek powder,Sugar,Salt,Citric Acid-330
",Not Mentioned,Yes,Pune,Not Mentioned,47g,559 Kcal,,5.8g,56.2g,2.0g,,34.5g,16.0g,0.1g,,,,680mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,week1,Rajaram Masala Peanuts,Rajaram,Masala Peanuts,Not Mentioned,Veg,Namkeen Snack,3,36,"Roasted Peanuts,Refined Edible Oil,Asafoetida,Chilli Powder,Black Pepper Powder,Turmeric Powder,Curry Leaves,Salt,Other Spices and Condiments",Not Mentioned,Not Mentioned,Chennai,"Peanut,Traces of Sesame Seeds & Other Nuts due to Shared Equipment",100g,590 Kcal,,25.0g,14.0g,2.0g,,44.0g,,,,,,,,3.1g,,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,week1,Haldiram Moong Dal,Haldiram,Moong Dal,Not Mentioned,Veg,Namkeen Snack,7,84,"Split Pulse Mong (Mong Dal),Refined Cotton Seed Oil,Iodised Salt",Not Mentioned,Not Mentioned,Nagpur,"Peanut,Tree Nuts,Sesame Seed,Milk,Soya,Mustard Seed,Gluten",18g,476 Kcal,,21.31g,50.66g,0g,,20.93g,5.64g,0g,3.81g,8.61g,,390mg,,,7.52g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,week1,Madura Foods Peanut,Madura Foods,Peanut,Not Mentioned,Veg,Peanut Snack,2,24,"Bengal Gram Flour,Rice Flour,Vegetable Oil,Salt,Asafoetida,Pepper,Ginger,Curry Leaves,Chilly Powder",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,150g,,,10.18g,52.51g,,,30.93g,,,,,,,,,,Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,week1,Rajaram Groundnut Sweets,Rajaram,Groundnut Sweets,Not Mentioned,Veg,Peanut Snack,3,36,"Groundnut,Jaggery,Sugar,Glucose",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,75g,492 Kcal,,15g,47.4g,,,,,,,,,,,0.4g,,0,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,
7,week1,Haldiram Tasty Nuts,Haldiram,Tasty Nuts,Not Mentioned,Veg,Namkeen Snack,5,60,"Groundnut,Redefined Palmolein Oil,Bengal Gram Flour-Besan,Maiza Starch,Iodised Salt,Red Chilli,Acidity Regulator-INS 330,Turmeric,Black Salt,Black Pepper,Dried Ginger Powder,Cardamom,Cumin,Cinnamon,Clove,Bay Leaves,Nutmeg,Asafoetida",Not Mentioned,Not Mentioned,Nagpur,"Gluten,Treenuts,Seasame seed,Milk,Soya,Mustard seed",50g,624 Kcal,,21.24g,23.34g,0g,,49.53g,8.39g,0g,19.82g,13.08g,,493mg,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,week1,Rajaram GroundNut Cubes ,Rajaram,GroundNut Cubes,Not Mentioned,Veg,Peanut Snack,3,36,"Groundnut,Jaggery,Cardamom,Sugar,Liquid Glucose",Not Mentioned,Not Mentioned,Chennai,"Peanut,Almond,Pistachio,Cashew,Soy,Milk,Sesame",,524 Kcal,,9.8g,58.8g,49.8g,,27.7g,9.8g,0g,,,,67.2mg,,0.4g,,0,,2.4g,298.6mg,166mg,,,,,,,,,,,,,,,,,,,,,,,,
9,week1,Meiji Yam Yam,Meiji,Yam Yam,Not Mentioned,Veg,Confectionery,12,144,"Wheat Flour,Edible Vegetable Oil,Interesterified Super Palm Oil,Soya Bean Oil,High oleic Sunflower Oil,Palmolein Oil,Palm Oil,Hydrogenated Vegetable Oil -Rapeseed Oil,Sugar,MilkSolids,Iodised Salt,Emulsifier-INS 472e ,Emulsifier-INS 322,Leavening Agent-INS 500(ii),Leavening Agent- INS 503(ii), Flour Treatment Agent-INS 1101(ii) ,Yeast",Not Mentioned,Vanilla-0.03% & Sugar,Ramanagara ,Not Mentioned,25g,491.4 Kcal,,8.0g,68.3g,17.7g,,20.8g,,,7.6g,4.6g,,484.3mg,,,,0.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,week1,Joule Foods Banyard Millet Cookies,Joule Foods,Banyard Millet Cookies,Not Mentioned,Veg,Cookies,3,36,"Barnyard Millet Flour,Sucrose,Whole Wheat Flour,Vegetable Oil,Salt",Not Mentioned,Not Mentioned,Coimbatore,Not Mentioned,150g,510.7 Kcal,,6.85g,61.03g,,,20.56g,,,,,,,0.210g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,week1,Cadbury Oreo Cholcolatey Sandwich Biscuits,Cadbury,Oreo Cholcolatey Sandwich Biscuits,Mondelez International,Veg,Confectionery,6,72,"Refined Wheat Flour,Sugar,Edible Vegetable Fat,Palmolein,Invert Syrup,Cocoa Solids,Leavening Agent-INS 500(ii),Leavening Agent-INS 503(ii),Edible Salt,Emulsifier-INS 322",Not Mentioned,Nature Identical Flavouring Substances,Ramanagar,Not Mentioned,50g,480 Kcal,,5.3g,70.7g,38.6g,,19.5g,9.7g,0.2g,,,,498mg,,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,week1,Coffee Day Banana Crisps,Coffee Day,Banana Crisps,café coffee day,Veg,Chips,6,72,"Bananas,Edible Vegetable Oil-Palm oil,Chilli Powder,Common Salt,Coriander Powder,Cumin Powder,Asafoetida,Hydrolysed Vegetable Protein",Not Mentioned,Not Mentioned,Dakshina Kannada ,Not Mentioned,50g,494 Kcal,,6.80g,62.79g,,,23.85g,8.50g,>0.1g,8.36g,2.30g,,,,0.36g,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,week1,Unibic Cashew Cookies,Unibic,Cashew Cookies,Not Mentioned,Veg,Cookies,6,72,"Wheat Flour,Sugar,Edible Vegetable Oil-Palm oil,Cashew Bits,Butter,Milk Solids,Liquid Glucose,Leavening Agent-INS 503(ii),Leavening Agent-INS 500(ii),Emulsifier-INS 322 ,Salt",Not Mentioned,Vanillin,Bangalore,"Gluten,Milk,Soya,Nuts",75g,507 Kcal,,7.5g,63g,25g,,25g,12.5g,0g,9.8g,1.9g,,,,,,5.2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,week1,Rajaram Sesame Balls,Rajaram,Sesame Balls,Not Mentioned,Veg,Pastries,3,36,"Sesame Seeds,Jaggery,Sugar,Liquid Glucose",Not Mentioned,Not Mentioned,Chennai,"Peanut,Almond,Pistachio,Cashew,Soy,Milk,Sesame",,502 Kcal,,10.4g,59.6g,51.2g,,24.7g,3.6g,0g,,,,44.4mg,,,,0,,5.4mg,303.2mg,561mg,,,,,,,,,,,,,,,,,,,,,,,,
15,week1,Haldiram Bhujia Sev,Haldiram,Bhujia Sev,Not Mentioned,Veg,Namkeen Snack,8,96,"Tapary Beans Flour,Refined Cotton Seed Oil,Bengal Gram Flour-Besan,Iodised Salt,Red Chilli Powder,Clove Powder,Black Pepper,Dried Ginger Powder,Cardamom,Bay Leaves,Nutmeg,Cinnamon",Not Mentioned,Not Mentioned,Nagpur,"Peanut,Tree Nuts,Sesame Seed,Milk,Soya,Mustard Seed,Gluten",40g,592 Kcal,,12.93g,37.14g,0g,,43.50g,11.50g,0g,7.70g,18.85g,,771mg,0.63g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,week1,KurKure Karare Peanuts,KurKure,Karare Peanuts,Pepsico Inc USA,Veg,Namkeen Snack,4,48,"Peanuts,Edible Starch ,Edible Vegetable Oil-Palmolein Oil,Wheat Flour,Rice Flour,Maltodextrin ,Salt,Onion Powder,Chilli Powder,Amchur,Ginger Powder,Coriander Powder,Garlic Powder,Cumin Powder,Black Pepper Powder,Turmeric Powder,Fenugreek Powder,Milk Solids,Black Salt,Citric Acid-330,Sodium Bicarbonate-500(ii),Tomato Powder,Sugar",Not Mentioned,"Green Mango,Raisin",Faridabad,Not Mentioned,42g,511 Kcal,,12.0g,52.0g,4.5g,,28.0g,10.0g,0.1g,,,,1173mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,week1,Haldiram Soya Sticks ,Haldiram,Soya Sticks,Not Mentioned,Veg,Namkeen Snack,5,60,"Tapioca Starch,Refined Palmolein Oil,Soya Flour,Split Pulse Urd Flour-Urd Dal,Refined Sugar,Iodised SaltHydrogenated Vegetable Oil-Vanaspathi,Red Chilli Powder,Coriander Powder,Cumin Powder,Clove Powder,Dried Mango Powder,Black Pepper,Cardamom,Acidity Regulator-INS 330,Onion Powder,Garlic Powder,Black Salt,Asafoetida,Bay Leaves,Nutmeg,Cinnamon,Fennel seed,Turmeric,Mustard seed",Not Mentioned,Not Mentioned,Nagpur,"Peanut,Tree Nuts,Gluten,Milk,Sesame seed",25g,554 Kcal,,7..46g,45.0g,4.21g,,38.21g,18.56g,0g,11.28g,3.46g,,629mg,0.88g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,week1,True Chocolate Custard Cream Biscuits, True,Chocolate Custard Cream Biscuits,Not Mentioned,Veg,Biscuits,6,72,"Wheat Flour,Sugar,Edible Vegetable Oil,Invert Syrup,Edible Starch,Salt,Milk Products,Leavening Agent-INS 500(ii),Leavening Agent-INS 503(ii),Emulsifier-INS 322,Emulsifier-INS 471,Anti Oxidant-INS 319,","Permitted Synthetic Colours-INS 102,INS 107",Added Artificial Flavours,T.C Balam ,Not Mentioned,150g,454.8 Kcal,,9.5g,70.0g,,,15.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,week1,Relish Potato Straw Mint,Relish,Potato Straw Mint,Not Mentioned,Veg,Savouries,3,36,"Potato Slice,Mint,Gram Flour,Spices,Ginger,Asafoetida,Seasame Seeds,Salt,Refined Edible Oil",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,75g,553.07 Kcal,,5.16g,47.51g,38.04g,,38.04g,17.637g,,,,,,1.94g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,week1,Modern Medium Crust Pizza Base,Modern,Medium Crust Pizza Base,Modern Food Enterprises Pvt Ltd,Veg,Batter and Dough Based,Not Mentioned,0,"Fine Wheat Flour,Edible Vegetable fat-Interesterified,Sugar,Iodised Salt,Yeast,Preservative-282,Acidity Regulator-INS 260,Flour Treatment Agent-INS 510,Anti Oxidant-INS 300",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,150g,297 Kcal,,8.8g,58.4g,2.2g,,3.14g,1.9g,Not Detected,0.79g,0.45g,,,1.94g,,,Not Detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,week1,Sunfeast Nice,Sunfeast,Nice,ITC Limted,Veg,Biscuits,6,72,"Wheat Flour ,Sugar,Redefined Palm Oil,Edible Desiccated Cocunut,Invert Syrup,Milk Solids,Starch,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Raising Agent-INS 450(i),Cocunut Milk Powder,Edible Common Salt,Emulsifier-INS 322(i),Emulsifier-INS 471,Flour Treatment Agent-INS 223","Permitted Synthetic Food Colours-INS 102,INS 124","Coconut, Milk,Vanilla",Thirubhuvani,Not Mentioned,75g,473 Kcal,,7.5g,72.8g,31.7g,,16.9g,9.9g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,week1,Britannia Milk Bikis,Britannia ,Milk Bikis,Britannia Industries Limited,Veg,Biscuits,5,60,"Refined Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Milk Solids,Invert Syrup,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Edible Common Salt,Emulsifier-INS 322,Emulsifier-INS 471,Calcium Salt,Vitamins,Potasssium Iodate",Not Mentioned,"Milk,Butter,Vanilla",Bangalore Rural,Not Mentioned,44g,454 Kcal,,7g,75g,27g,,14g,6g,0g,6g,2g,,,,,,0mg,,,,90mg,25mcg,,0.18mg,,,,0.30mg,,0.15mcg,,,,,,,,,,,,,,,
23,week1,Britannia Toastea,Britannia ,Toastea,Britannia Industries Limited,Veg,Rusk,3,36,"Refined Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Sooji,Yeast,Invert Syrup,Milk Solids,Butter,Edible Common Salt,Wheat Fibre,Improver-1100,Improver-1104,Improver- 300,Cardamom Seeds & Its oil,Emulsifier-INS 471,Anti Oxidant-INS 300",Not Mentioned,Not Mentioned,Thiruvallur,Not Mentioned,63g,432 Kcal,,8g,82g,22g,,8g,3.5g,0g,3g,1.5g,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,week1,Haldiram Khatta Meetha,Haldiram,Khatta Meetha,Not Mentioned,Veg,Namkeen Snack,4,48,"Tapary Beans -Moth Dal,Cotton Seed Oil,Bengal Gram Flour-Besan,Iodised Salt,Red Chilli Powder,Clove Powder,Black Pepper,Dried Ginger Powder",Not Mentioned,Not Mentioned,Nagpur,"Peanut,Tree Nuts,Sesame Seed,Milk,Soya,Mustard Seed,Gluten",30g,530 Kcal,,9.26g,57.38g,4.26g,,29.25g,12.48g,0g,9.63g,3.29g,,368mg,0.53g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,week1,Cris-'P'Potato Wafers,Cris-'P',Potato Wafers,Not Mentioned,Veg,Chips,1,12,"Selected Potatoes,Palmolein Oil,Salt & Spicy",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,100g,521.6 Kcal,,4.3g,57.4g,,,30.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,week1,Nookad Nation Moong Dal,Nookad Nation,Moong Dal,Not Mentioned,Veg,Namkeen Snack,6,72,"Husked Green Gram,Edible Vegetable Oil-Palmolein Oil,Edible Common Salt",Not Mentioned,Not Mentioned,Navi Mumbai,"Peanuts,Tree Nuts,Gluten,Sesame Seeds",150g,495 Kcal,,20.4g,52.5g,0g,,22.6g,6.9g,0g,6.5g,9.2g,,466mg,,,1g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,week1,Nookad Nation Tasty Nuts,Nookad Nation,Tasty Nuts,Not Mentioned,Veg,Namkeen Snack,6,72,"Peanuts,Husked Gram Flour,Edible Vegetable Oil-Palmolein Oil,Edible Common Salt,Bishop Powder,Turmeric Powder,Mango Powder,Black Pepper,Black Salt Powder,Clove Powder,Red Chilli Powder,Lemon Powder,Coriander Powder,Mace Powder,Black Pepper Powder",Not Mentioned,Not Mentioned,Navi Mumbai,"Peanuts,Tree Nuts,Gluten,Sesame Seeds",150g,597 Kcal,,23g,27g,0g,,44g,10g,0g,15g,19g,,996mg,,,3g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,week2,Britannia Cake Fruity Fun,Britannia ,Cake Fruity Fun,Britannia Industries Limited,Non Veg,Pastries,3,36,"Refined Wheat Flour,Sugar,Eggs,Edible Vegetable Oil-Palm Oil,Edible Vegetable Oil- Sesame,Papaya Cuts,Pineapple Cuts,Orange Pulp,Humectant-INS 420,Humectant-INS 422,High Maltose Syrup,Edible Starch,Penta Cake-450(i),Penta Cake-500(ii),Penta Cake-412,Penta Cake-472e,Penta Cake-341(i),Penta Cake-330,Penta Cake-466,Penta Cake-435,Penta Cake-341(ii),Acidity Regulator-INS 341(i),Acidity Regulator-INS 330,Cake Gel-471,Cake Gel-477,Cake Gel-420,Edible Common Salt,Invert Syrup,Preservative-202,Preservative-282,Raising Agent-INS 500(ii),Raising Agent-INS 450(i),Baking Powder,Stabilizer-INS 415",Permitted Synthetic Food Colour-INS 102,"Mixed Fruit,Orange,Vanilla",Bangalore ,Not Mentioned,60g,405 Kcal,,5g,58g,26.5g,,17g,8g,0g,7.2g,1.7g,,,,,,65mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,week2,Kinder Joy,Kinder,Joy,Not Mentioned,Veg,Confectionery,7,84,"Sugar,Palmolein,Skimmed Cow Milk Powder,Palm Oil,Low Fat Cocoa Powder,Wheat Flour,Edible Vegetable Fat,Toasted Wheat Germ,Wheat Starch,Powdered Barley Malt Extract,Emulsifier-INS 322,Whey Powder,Sunflowerseed Oil -High Oleic Acid,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii)",Not Mentioned,Not Mentioned,Pune,Not Mentioned,20g,545 Kcal,,8g,56.5g,51g,,32g,15.5g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,week2,Mex Nachos Delhi Papdi Chaat,Mex Nachos,Delhi Papdi Chaat,All that's Good,Veg,Chips,3,36,"Corn Masa Flour/Meal,Refined Palmolein Oil,Sugar,Salt ,Corn Starch,Spices&Herbs,Milk Solids,Natural Flavourings,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Acidity Regulator-INS 327,Acidity Regulator-INS 330,Stabilizer-INS 414,Anti Caking Agent-INS 551",Not Mentioned,Mixed Spices,Gandhinagar,Milk Ingredients,60g,470 Calories,,7g,71g,3g,,17g,3g,0g,,,,720mg,,,3g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,week2,ACT II Nachoz Jalapeno,ACT II,Nachoz Jalapeno,"ConAgra Foods RDM Inc., USA",Veg,Chips,6,72,"Corn,Refined Edible-Palmolein Oil,Iodised Salt,Maltodextrin,Chilli Powder,Coriander Powder,Cumin Powder,Nutmeg Powder,Clove Powder,Cardamom Powder,Sugar,Onion Powder,Tomato Powder,Garlic Powder,Milk Solids-Whey Powder,Acidity Regulator-INS 330,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Stabilizer-Hydrolysed Vegetable Protein,Parsley Flakes,Annatto",Permitted Natural Colour-160b(i),Not Mentioned,Unnao ,Not Mentioned,60g,473 Kcal,,8g,68g,0g,,19g,7g,0g,9g,3g,,0.8g,,,6g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,week2,Southern Days Sweet Bread,Southern Days,Sweet Bread,Nilgiris,Veg,Bread,Not Mentioned,Not Mentioned,"Maida,Water,Sugar,Yeast,Iodised Salt,Edible Vegetable Oil,Preservative-282,Gluten,Improver Fungal Amylase,Acidity Regulator-INS 260,Anti Oxidant-INS 300,Flour Treatment Agent -INS 510
0",Not Mentioned,Not Mentioned,Bengaluru,Not Mentioned,200g,303.5 Kcal,,7.38g,47.91g,13.9g,,9.15g,3.47g,0g,3.17g,2.51g,,,,,2.4g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,week2,Britannia Little Hearts Classic,Britannia ,Little Hearts Classic,Britannia Industries Limited,Veg,Biscuits,6,72,"Refined Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Milk Solids,Edible Common Salt,Yeast,Emulsifier-INS 322,Improver-1100,Improver 1101(i)",Not Mentioned,Not Mentioned,Kancheepuram ,Not Mentioned,37g,488 Kcal,,7g,70g,24.5g,,20g,9g,0g,8.2g,2.7g,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,week2,Tasty Treat Vanilla Flavoured Cream Wafer Biscuit ,Tasty Treat,Vanilla Flavoured Cream Wafer Biscuit ,Future consumer Limited India,Veg,Wafers,9,108,"Wheat Flour,Corn Starch,Edible Vegetable Oil-Palm,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Salt,Emulsifier-INS 322,Sugar,Milk Solids,Maltodextrin,Dextrose,Salt,Emulsifier-INS 471,Emulsifier-INS 322
",Not Mentioned,Vanilla,Tumkur,Not Mentioned,25g,529 Kcal,,5g,66g,34g,,27g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,week2,Sai Ram Snacks Ribbon Pakoda,Sai Ram Snacks,Ribbon Pakoda,Not Mentioned,Veg,Savouries,1,12,"Raw Rice,Bengal Gram,Fried Gram,Vanaspathi,Chillipowder,Asafoetida,Refined Groundnut Oil,Salt",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,200g,577 Kcal,,7.28g,49.72g,,,38.74g,,,,,,,0.05g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,week2,Tasty Treat Wasabi Bhujia,Tasty Treat,Wasabi Bhujia,Future consumer Limited India,Veg,Namkeen Snack,6,72,"Potato,Edible Vegetable Oil-Palm ,Edible Vegetable Oil-Cotton Seed,Channa Flour,Moth Flour,Sabudana,Red Chilli Powder,Sugar,Salt,
Soya Sauce,Onion Powder,Thickener-INS 1442,Maltodextrin,Mustard Powder,Garlic Powder,Yeast Extract,Spice Extract,Edible Vegetable Oil-Sunflower,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Acidity Regulator-INS 330,Anti Caking Agent-INS 551",Natural Colour-INS 100(ii),Not Mentioned,Bijnor,Not Mentioned,30g,557 Kcal,,7g,40g,5g,,41g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,week2,Pickwick Pineapple Flavoured Cream Wafer Biscuit ,Pickwick,Pineapple Flavoured Cream Wafer Biscuit ,Not Mentioned,Veg,Wafers,12,144,"Sugar,Wheat Flour,Edible Hydrogenated Vegetable Fat,Emulsifier-INS 322,Natural Pineapple Fruit Powder,Edible Common Salt,Leavening agent-INS 500(ii)",Permitted Synthetic Food Colour-INS 102,Pineapple,Mumbai,Not Mentioned,100g,507 Kcal,,4.39g,71.99g,36.63g,,22.43g,12.43g,<0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
