p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
160,week6,Maretti Bruschette Chips,Maretti,Bruschette Chips,Not Mentioned,Veg,Chips,8,96,"Wheat flour,Palm olein,Anti Oxidant-Rosemary extract,Corn meal extrudate,Corn starch,Salt,Dextrose,Maltodextrin,Spinach powder,Onion powder,Garlic powder,Flavour Enhancer-INS 621,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Dried parsley,Cheese powder,Flavourings,Salt,Skimmed milk powder,Sugar,Dried gluten,Yeast,Stabilizer: Guar Gum,Dextrose",Not Mentioned,Not Mentioned,Bulgaria,Not Mentioned,70g,467kcal,,9.0g,66g,5.5g,,"18g
",7.3g,,,,,,2.7g,,,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,week6,A2B Madras Mixture,A2B ,Madras Mixture,Not Mentioned,Veg,Savouries,6,72,"Rice Flour,Gram Flour,Groundnut,Aval,Green gram flour,Butter,Salt,Turmeric Powder,Curry Leaves,Edible Vegetable Oil",Not Mentioned,Not Mentioned,Chennai,"Groundnut, May Contain other Treenuts",20g,595.5 Kcal,,11.1g,40.2g,0g,,44.5g,9.6g,,18.8g,16.1g,,457.9mg,,,4.1g,0mg,,2.7mg,,60.9mg,,,,,,,,,,,,,,,,,,,0.1mg,,,,,
162,week6,A2B Pepper Sev,A2B ,Pepper Sev,Not Mentioned,Veg,Savouries,6,72,"Rice Flour,Gram Dal,Pepper,Cumin,Asafoetida,Salt,Edible Vegetable Oil",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,20g,598 Kcal,,9.5g,44g,0g,,42.6g,18.1g,,5.8g,18.7g,,460mg,,,8.4g,0mg,,2.64g,,360mg,,,,,,,,,,,,,,,,,,,140mg,,,,,
163,week6,Spar Potato Wafers,Spar,Potato Wafers,Not Mentioned,Veg,Chips,2,24,"Potato,Refined Palm Oil,Iodised Salt,Anti Oxidant-INS 319",Not Mentioned,Not Mentioned,Mangalore,Not Mentioned,80g,557.79 Kcal,,6.97g,49.63g,0.28g,,38.20g,10.70g,0g,,,,332.0mg,,,4.18g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,week6,Pringles Potato Crisps,Pringles,Potato Crisps,Kellog's,Veg,Chips,12,144,"Dried Potato,Edible Vegetable Oil-Palm Oil,Corn Flour,Wheat Starch,Emulsifier-INS 471,Maltodextrin,Salt,Acidity Regulator-INS 330",Not Mentioned,Not Mentioned,Johor,Not Mentioned,110g,523 Kcal,,5.0g,62.8g,0.4g,,27.9g,14.0g,0.3g,,,,469mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,week6,New Star Snacks,New Star Snacks,,Not Mentioned,Veg,Savouries,1.5,18,Not Given,Not Mentioned,Not Mentioned,Chennai,Not Mentioned,200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,week6,Nagalapuram Kitu Sevu,Nagalapuram,Kitu Sevu,Cottage Industry,Veg,Savouries,1,12,"Rice Flour,Gram Flour,Oil,Chilly,Asafoetida,Omam,Jeera",Not Mentioned,Not Mentioned,Theni,Not Mentioned,250g,524 Kcal,,12g,57g,,,27g,,,,,,,,,9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,week6,Yummy Granny Wafers,Yummy ,Granny Wafers,Not Mentioned,Veg,Wafers,9,108,"Wheat Flour,Sugar,Refined Palm Oil,Hydrogenated Vegetable Fat,Dried Corn Syrup,Dextrose Maize Starch,Jowar-Sorghum,Ragi,Barley,Pearl Millet,Fried Gram,Milk Solids,Emulsifier-INS 322,Raising Agent-INS 500,Common Salt,Improver-Enzyme",Not Mentioned,Vanilla,Hyderabad,Not Mentioned,30g,481 Kcal,,4.19g,69.58g,,,20.68g,10.34g,,6.2g,4.14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,week6,Rajas Puffed Rice Sweets,Rajas,Puffed Rice Sweets,Not Mentioned,Veg,Pastries,3,36,"Puffed Rice,Jaggery,Glucose",Not Mentioned,Not Mentioned,Chennai ,Not Mentioned,,370.44 Kcal,,0.40g,87.92g,,,1.91g,,,,,,,1.53g,,,,,3.4mg,,37mg,,,,,,,,,,,,,,,,,,58.33mg,80 mg,,,,,
169,week6,Yummo Mr.Popcorn-Chaat Masala,Yummo,Mr.Popcorn-Chaat Masala,Not Mentioned,Veg,Popcorn Snack,6,72,"Corn,Edible Vegetable Oil,Iodised Salt,Ginger,Amchoor,Chilli Powder,Black Salt,Garam Masala,Cumin Powder,Black Pepper,Turmeric Powder,Sugar,Citric Acid,Starch,Added Spices and Added Natural Colors",Not Mentioned,Not Mentioned,Mandya ,Not Mentioned,40g,115kcal,,2g,16.5g,,,4.5g,,0.5g,,,,,0.35g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,week6,Suriyan Peanut Chikky Burfy,Suriyan ,Peanut Chikky Burfy,Cottage Industry,Veg,Peanut Snack,3,36,"Peanut,Jaggery,Liquid Glucose",Not Mentioned,Not Mentioned,Coimbatore,Not Mentioned,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,week6,Hajara's Salt Peas,Hajara's,Salt Peas,Not Mentioned,Veg,Savouries,1.5,18,"Bengal Gram Flour,Rice Flour,Refined Oil,Salt,Chilli Powder,Spices",Not Mentioned,Not Mentioned,Chennai ,Not Mentioned,200g,423.9 Kcal,,20.4g,15.68g,,,31.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,week6,Easy Foods Ooty Special Variki,Easy Foods,Ooty Special Variki,Not Mentioned,Veg,Rusk,6,72,"Wheat Flour,Sugar,Vanaspathi ,Milk Powder,Ghee,Cardamom,Cold Pressed Oil",Not Mentioned,Not Mentioned,Ooty,Not Mentioned,250g,581.83 Kcal,,7.56g,49.46g,,,35.59g,10.80g,0.1g,8.0g,5.0g,,,,,1.0g,80.0mg,,,,,,,,,,,,,,,,,,,,,,,,,2.39g,4.78g,,
173,week6,Nutro Orange Flavoured Cream Wafers,Nutro,Orange Flavoured Cream Wafers,Not Mentioned,Veg,Wafers,6,72,"Hydrogenated Palm Kernel Oil,Coconut Oil,Sugar,Wheat Flour,Skim Milk Powder-From Cow's & Buffalo's Milk,Dextrose,Emulsifier-INS 322,Salt,Raising Agent-INS 500(ii),Acidity Regulator-INS 330",Artificial Colour-E110-FD& C Yellow No6,"Orange,Vanillin",Dubai,Not Mentioned,75g,2360 Kj,,3.9g,52.2g,32.5g,,36g,33g,,,,,50mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,week6,Popicorn Tangy Jalapeno,Popicorn,Tangy Jalapeno,Not Mentioned,Veg,Popcorn Snack,6,72,"Popped Corn,Edible Vegetable Oil,Iodized Salt,Sugar,Dehydrated Vegetable Powder-Onion,Dehydrated Vegetable Powder-Garlic,Corn Starch,Mixed Spices,Pepper,Jalapeno,Chilli,Ginger,Milk Solids,Soya Sauce Powder,Acidity Regulator-INS 330,Acidity Regulator-INS 296",Not Mentioned,Not Mentioned,Hyderabad,Not Mentioned,80g,493.49 Kcal,,8.93g,58.44g,0g,,24.89g,10.25g,0g,10.77g,4.79g,,0.9g,,,11.15g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,week7,Bigbasket GoodDiet Sprouted Mixture Plain,Bigbasket GoodDiet,Sprouted Mixture Plain,Not Mentioned,Veg,Namkeen Snack,6,72,"Green Gram-Moong,Dew Gram-Moth,Red Lentil-Masoor,Sorghum-Jowar,Bengal Gram-Chana,Edible Common Salt,Palmolein Oil,Anti Oxidant-INS 306",Not Mentioned,Not Mentioned,Jaipur,"Processed in a facility that also handles Soya,Peanut,Wheat,Milk Products",125g,379 Kcal,,25g,57g,0g,,5.5g,2g,0g,2g,1.5g,,,,,21.5g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,week7,Jumbo Dark Choco Crispers,Jumbo,Dark Choco Crispers,Not Mentioned,Veg,Confectionery,12,144,"Sugar,Cocoa Solids,Cocoa Butter,Emulsifier-INS 322,Emulsifier-INS 476,Rice Flour,Sugar,Cocoa Solids,Edible Salt,Glazing Agent-414-Gum Arabic",Not Mentioned,Not Mentioned,Chennai,"Milk,Soya,Rice,Sulphites;Manufactured on Equipment that also Processes Products containing Almond,Other tree nuts",25g,572.2g,,5.83g,44.45g,44.36g,,42.23g,22.34g,,,,,9.31mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,week7,Smart Bite Sweet Heart Biscuits,Smart Bite,Sweet Heart Biscuits,Aruna Food Products,Veg,Biscuits,5,60,"Wheat Flour,Edible Vegetable Oil,Sugar,Leavening Agent-INS 503(ii),Leavening Agent-INS 341(ii),Invert Syrup,Salt,Yeast,Liquid Glucose ,Emulsifier-INS 322 ,Emulsifier-INS 471,Emulsifier-INS 481(i),Dough Conditioner-INS 223",Not Mentioned,Butter,Chennai,Not Mentioned,250g,504 Kcal,,6.0g,66.5g,7.2g,,21.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,week7,Spar Aloo Bhujia,Spar,Aloo Bhujia,Not Mentioned,Veg,Namkeen Snack,6,72,"Potatoes,Edible Vegetable Oil,Gram Pulse Flour,Tepary Beans Flour,Edible Starch-Sago,Edible Common Salt Powder,Coriander Powder,Cumin Powder,Mango Powder,Ginger Powder,Red Chilli Powder,Mace Powder,Nutmeg Powder,Mint Leaves Powder,Acidity Regulator-INS 330",Not Mentioned,Not Mentioned,Bijnor,"This product is made in a facility that processes food containing Peanuts,Tree Nuts,Soya,Milk,Wheat,Sesame",150g,630 Kcal,,5g,40g,0g,,50g,8.8g,0g,20.5g,20g,,670mg,,,2g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,week7,BrookSide Dark Pomegranate Flavoured Centre Chocolate,BrookSide Dark,Pomegranate Flavoured Centre Chocolate,Hershey Canada Inc,Veg,Confectionery,12,144,"Sugar,Liquid glucose,Fruit pulp,Papaya,Pomegrante,Stabilizer-INS 440,Stabilizer-INS 414,Stabilizer-INS 331(iii),Acidity Regulator-INS 296,Sugar,Cocoa Solids,Cocoa Butter,Milk Solids,Anti Oxidant-INS 322(i),Edible Common Salt,Stabilizer-1400,Glazing Agent-904","Permitted Synthetic Food Colours-124,122,102,133",Green Apple,Surendranagar,Not Mentioned,33.3g,448 Kcal,,1.6g,82.3g,58.9g,,12.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,week7,Yellow Diamond Namkeen All in One,Yellow Diamond ,Namkeen All in One,Not Mentioned,Veg,Namkeen Snack,5,60,"Bengal Gram,Edible Vegetable Oil,Rice Flakes,Peanut,Potato,Lentils,Cucumber Seeds,Corn Flakes,Raisins,Cashew Nuts,Spinach,Iodised Salt,Red Chilli Powder,Dry Mango Powder,Black Pepper Powder,Citric Acid-E330",Not Mentioned,Not Mentioned,Indore,Not Mentioned,130g,573.43 Kcal,,15.17g,39.29g,7.62g,,39.51g,12.28g,0g,17.41g,9.82g,,790.58mg,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,week7,Bigbasket Fresho Signature Cinnamon Sticks,Bigbasket Fresho Signature,Cinnamon Sticks,Not Mentioned,Veg,Savouries,3,36,"Refined Wheat Flour,Water,Industrial Margerine,Edible Common Salt,Sugar,Cinnamon Powder,Castor Sugar",Not Mentioned,Not Mentioned,Bangalore,Gluten,100g,563.0g,,15.67g,39.87g,3.72g,,37.86g,0.96g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,week7,Sadhuragiri Snacks Murukku,Sadhuragiri Snacks,Murukku,Not Mentioned,veg,Savouries,1.7,20,"Rice Flour,Refined Edible Oil,Gram Flour,Asafoetida,Chilly Powder",Not Mentioned,Not Mentioned,Theni,Not Mentioned,140g,520.14 Kcal,,4.66g,71.12g,,,21.40g,14.20g,0.18g,3.04g,4.16g,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,2.12g,0.70g,,0g
183,week7,Paperboat Chikki,Paperboat,Chikki,Fairtrade,Veg,Peanut Snack,6,72,"Peanuts,Jaggery,Sugar,Liquid Glucose",Not Mentioned,Not Mentioned,Rajkot,"Peanuts;Manufactured on equipment that also processes products containing Tree Nuts,Sesame",35g,497.6 Kcal,,13.9g,56.5g,34.0g,,24.0g,5.41g,<0.1g,,,,,,,,<1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,week7,Gulabs Ajwain Khakhra,Gulabs,Ajwain Khakhra,Not Mentioned,Veg,Khakhra,6,72,"Wheat Flour,Carom Seeds,Cooking Oil,Water,Salt,Clarified Butter-Ghee",Not Mentioned,Not Mentioned,Chennai,"Milk,Milk Products,Nuts,Wheat Flour,Tree Nuts,Blackgram,Soybean",,489.8 Kcal,,11.5g,62.8g,3.7g,,21.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,week7,BigBasket Tasties,BigBasket,Tasties,Not Mentioned,Veg,Namkeen Snack,6,72,"Dew Bean Flour-Moth Flour,Edible Vegetable Oil-CottonSeed Oil,Edible Vegetable Oil-Peanut Oil,Chick Peas Flour,Edible Common Salt,Chilli Powder,Clove Powder,Black Pepper Powder,Spices & Condiments",Not Mentioned,Not Mentioned,Bikaner,"Processed in a facility that also handles Nuts,Soya,Gluten,Dairy Products",150g,596 Kcal,,12g,40g,0g,,43g,13g,0g,10g,20g,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,week7,Cadbury Bourn Vita ,Cadbury,Bourn Vita ,Mondalez International group,veg,Biscuits,8,96,"Refined Wheat Flour,Sugar,Palmolein Oil,Malt Based Food,Malt Extract,Sugar,Cocoa Solids,Caramel-150c,Liquid Glucose,Protein Isolate,Maltodextrin,Milk Solids,Vitamins,Emulsifier-INS 322,Emulsifier-INS 471,Leavening Agent-INS 500(ii),Minerals,Edible Salt,Invert Sugar,Cocoa Solids,Milk Solids,Edible Salt,Leavening Agent-INS 500(ii),Leavening Agent-INS 503(ii),Edible Salt,Caramel-150c,Vitamins and Minerals",Permitted Natural Colour-150c,Ethyl Vanillin,Ramanagar,Not Mentioned,120g,457 Kcal,,7.3g,73.6g,30.0g,,15.3g,6.8g,0.1g,,,,361mg,,,1.0g,,,2.4mg,,90 mg,,,,0.15mg,,,,18 mcg,0.15mcg,,,,,,,,,,,,,,,
187,week7,Roasty Tasty Soya Chatpata,Roasty Tasty,Soya Chatpata,Not Mentioned,Veg,Namkeen Snack,6,72,"Soyabean,Black Pepper,Rock Salt,Dried Mango Powder,Edible Common Salt,Tartaric Acid-E334,Spices,Edible Vegetable Oil-Palmolein Oil,Edible Vegetable Oil-Corn Oil",Not Mentioned,Not Mentioned,Jaipur,"Soyabean,Traces of Peanut",150g,461  Kcal,,43g,25g,3g,,21g,4g,0g,10g,7g,,857mg,11g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,week7,RCL Madras Butter Biscuit,RCL,Madras Butter Biscuit,RCL Foods Limited,Veg,Biscuits,4,48,"Refined Wheat Flour,Sugar,Hydrogenated Veg Oil,Iodised Salt,Milk Solids,Amul Butter,Custard Powder,Baking Powder,Raising Agent-INS 503(ii)",Not Mentioned,"Milk,Vanilla Butter",Chennai,"Milk Solid,Wheat,Manufactured Under the facility that also handles Nuts",250g,,,1g,58.52g,5.67g,,31.26g,,,,,,,0.15g,,,,,,,0.02g,,,,,,,,,,,,,,,,,,,,,,,,
189,week8,Hot Breads French Meringue,Hot Breads,French Meringue,Not Mentioned,Non Veg,Biscuits,1,12,"Refined Wheat Flour,Sugar,Cashew Nut,Vanilla Powder,Foodcolour,Eggwhite",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,week8,Hot Breads Eggless Brownie,Hot Breads,Eggless Brownie,Not Mentioned,veg,Dessert Snack,0.3,4,"Refined Wheat Flour,Sugar,Baking Powder,Vanilla Powder,Butter Chocolate",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,week8,Hot Breads Plain Muffin,Hot Breads,Plain Muffin,Not Mentioned,Non Veg,Pastries,0.2,2,"Refined Wheat Flour,Sugar,Egg,Refined Oil,Baking Powder,Vanilla Essance",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,week8,Hot Breads Mustard Curry Leaf,Hot Breads,Mustard Curry Leaf,Not Mentioned,veg,Bread,0.1,1,"Refined Wheat Flour,Gluten,Yeast,Salt,Vegetable Fat,Bread,Improver,Sugar,Mustard Seed,Curry Leaf",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,week8,Arunishik Exports Kumily Nendharan Chips,Arunishik Exports,Kumily Nendharan Chips,Not Mentioned,Veg,Chips,2,24,"Bananas,Vegetable Oil,Salt,Chilly,Tomato Powder,Ginger,Jaggery",Not Mentioned,Not Mentioned,Kumiy,Not Mentioned,200g,519 Cal,,2.3g,58.4g,,,33.6g,,,,,,,1.0g,,,,0.15g,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,week8,Linga Sweets Elaichi Honey Balls,Linga Sweets,Elaichi Honey Balls,Not Mentioned,Veg,Dessert Snack,0.5,6,"Maida,Curd,Sugar,Cardamom,Ghee,Sunflower Oil",Not Mentioned,Not Mentioned,Theni,Not Mentioned,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,week8,McRennett Chocolate Brownie,McRennett,Chocolate Brownie,Not Mentioned,Veg,Dessert Snack,0.7,8,"Sugar,Water,Refined Wheat Flour,Edible Vegetable Oil,Dark Chocolate,Walnut,Milk Powder,CornSyrup,Soya Flour,Raising Agent-INS 500(i),Acidity Regulator-INS 296,Acidity Regulator-INS 330,Preservative-200,Hydrogenated Vegetable Fat",Permitted Food Colour-150a,"Vanilla,Milk",Chennai,"Gluten,Soy Allergens,Nuts",40g,453.68 Kcal,,7.45g,48.99g,22.71g,,22.82g,,,,,,,0.78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,week8,Unibic Cashew Cookies Sugar Free,Unibic,Cashew Cookies Sugar Free,Not Mentioned,Veg,Cookies,6,72,"Wheat Flour,Sweetner-E965-Matilol,Sweetner-E955-Sucralose,Butter,Edible Vegetable Oil-Palm Oil,Cashew Bits,Leavening Agent-E503(ii),Leavening Agent-E503(ii),Emulsifier-INS 322,Salt",Not Mentioned,Vanillin,Bangalore,"Gluten,Soya,Nuts",75g,514 Kcal,,8.1g,62g,0g,,26g,14.9g,0g,8.5g,1.5g,,,,,,25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,20g,
197,week8,Haniyah Butter Cookies,Haniyah,Butter Cookies,Not Mentioned,Veg,Cookies,2,24,"Wheat Flour,Sugar,Edible Vegetable Oil,Iodized Salt,Edible Corn Starch,Milk",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,week8,Deepak Snacks Masala Peanut,Deepak Snacks,Masala Peanut,Not Mentioned,veg,Peanut Snack,2,24,"Peanut,Gram Dhall Flor,Refined Sunflower Oil,Salt",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,100g,586 Kcal,,20g,18g,,,41g,,,,,,63.13mg,37.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,week8,Sky Snacks Kaara Garl,Sky Snacks,Kaara Garl,Not Mentioned,Veg,Savouries,2,24,"Dhall,Peanut ,Dhall Flour,Rice Flower,Edible Oil,Chilli Powder,Pepper,Garlic,Maida,Starch,Sugar,Salt",Not Mentioned,Not Mentioned,Madurai,Not Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,week8,Sri Jai Maruthi Kara Jilabi Murukku,Sri Jai Maruthi ,Kara Jilabi Murukku,Not Mentioned,Veg,Savouries,2,24,"Rice Flour,Gram Dhal,Salt,Chilly",Not Mentioned,Not Mentioned,Vellore,Not Mentioned,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,week8,Altras Cashew Macaroons,Altras Cashew,Macaroons,Not Mentioned,Non Veg,Biscuits,3,36,"Sugar,Cashewnuts,Albumin",Not Mentioned,Not Mentioned,Tuticorn,"Gluten,Nuts,Egg White",100g,461 Kcal,,9.42%,75.64%,66.73%,,11.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,week8,Feasters Fruit & Nut Cookies,Feasters,Fruit & Nut Cookies,Aditya Birla Retail Ltd,Veg,Biscuits,6,72,"Wheat Flour,Sugar,Refined Palm Oil,Dry Fruits,Black Currant,Papaya Cubes,Papaya,Sugar,Acidity Regulator-INS 330,Cranberry,Cashew,Almond Bits,Butter,Liquid Glucose,Dates Syrup,Milk Solids,Leavening Agent-INS 503(ii),Leavening Agent-INS 500(ii),Emulsifier-INS 322,Iodised Salt",Permitted Synthetic Food Colour-INS 102,Not Mentioned,Bangalore,"Wheat,Milk Solids,Soy,Nuts",75g,479 Kcal,,6.4g,66g,25g,,21g,12.6g,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,week8,Feasters Masala Boondi,Feasters,Masala Boondi,Aditya Birla Retail Ltd,Veg,Savouries,6,72,"Bengal Gram Flour,Refined Palmolein,Groundnuts,Iodised Salt,Spices & Condiments,Curry Leaf",Permitted Synthetic Food Colour-INS 102,Not Mentioned,Hyderabad,Not Mentioned,150g,613 Kcal,,12.7g,36.8g,0g,,36.0g,17.0g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,week8,Nature's Promise Barnyard Millet Cookies,Nature's Promise,Barnyard Millet Cookies,Not Mentioned,Veg,Biscuits,6,72,"Barnyard Millet Flour,Wheat Flour,Vegetable Oil,Salt,Sugar",Not Mentioned,Not Mentioned,Coimbatore,Not Mentioned,70g,365.85 Kcal,,4.32g,44.95g,20.62g,,18.75g,10.03g,,,,,12.95mg,0.12g,,,0.07g,,1.28mg,,13.73mg,,0.07mg,,,,,,,,0.35mg,,,,,,,,,,,,,,
205,week8,Mexitos Nacho Chips Smoky Jalapeno flavour,Mexitos Nacho Chips,Smoky Jalapeno flavour,Not Mentioned,Veg,Chips,6,72,"Corn,Edible Vegetable Oil-Palmolein Oil,Sugar,Maltodextrin,Iodised Salt,Spices & Condiments,Hydrolyzed Vegetable Protein,Citric Acid,Bell Pepper Powder,Anti Caking Agent-INS 551,Flavour Enhancer-INS 635",Not Mentioned,Not Mentioned,Gandhinagar,Not Mentioned,70g,498.5 Kcal,,5.2g,70.6g,2.5g,,21.7g,9.4g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,week8,A2B Sirai Pakoda,A2B,Sirai Pakoda,Adyar Ananda Bhavan,Veg,Savouries,6,72,"Rice Flour,Gram Dhal Flour,Red Chilli,Asafoetida,Salt,Refined Vegetable Oil",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,200g,547 Kcal,,8.1g,40.5g,0g,,39.2g,16.9g,0.1g,14.8g,,,380mg,,,6.8g,0mg,,1.5mg,,140mg,,,,,,,,,,,,,,,,,,,142 mg,,,,,
207,week8,McRennett Pineapple Biscuits,McRennett,Pineapple Biscuits,McRennett,Veg,Cookies,1.5,18,"Refined Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Water,Corn Flour,Corn Syrup,Milk Solids,Maltodextrin,Salt,Emulsifier-INS 471,Emulsifier-INS 322,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii)",Permitted Synthetic Colour-102,Pineapple,Chennai,Not Mentioned,200g,502.4 Kcal,,5.9g,66.4g,26.7g,,23.7g,11.4g,0g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
